id,minute,result,X,Y,xG,player,h_a,player_id,situation,year,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
427759,14,Goal,0.964000015,0.5,0.809398949,Romelu Lukaku,a,594,OpenPlay,2021,RightFoot,16394,Arsenal,Chelsea,0,2,22/08/2021 15:30,Reece James,Pass
427760,20,MissedShots,0.899000015,0.525,0.025048809,Romelu Lukaku,a,594,FromCorner,2021,Head,16394,Arsenal,Chelsea,0,2,22/08/2021 15:30,NA,Aerial
427762,26,BlockedShot,0.839000015,0.482000008,0.097709626,Romelu Lukaku,a,594,OpenPlay,2021,RightFoot,16394,Arsenal,Chelsea,0,2,22/08/2021 15:30,Mason Mount,Pass
427764,29,BlockedShot,0.781999969,0.635,0.033464529,Romelu Lukaku,a,594,OpenPlay,2021,LeftFoot,16394,Arsenal,Chelsea,0,2,22/08/2021 15:30,Marcos Alonso,Pass
427768,49,BlockedShot,0.853000031,0.544000015,0.103215024,Romelu Lukaku,a,594,OpenPlay,2021,LeftFoot,16394,Arsenal,Chelsea,0,2,22/08/2021 15:30,Mateo Kovacic,Pass
427771,54,BlockedShot,0.878000031,0.525,0.10846518,Romelu Lukaku,a,594,OpenPlay,2021,RightFoot,16394,Arsenal,Chelsea,0,2,22/08/2021 15:30,NA,None
427779,76,SavedShot,0.916999969,0.497000008,0.472195506,Romelu Lukaku,a,594,OpenPlay,2021,Head,16394,Arsenal,Chelsea,0,2,22/08/2021 15:30,Mason Mount,Aerial
427783,89,MissedShots,0.913000031,0.472000008,0.076405764,Romelu Lukaku,a,594,OpenPlay,2021,Head,16394,Arsenal,Chelsea,0,2,22/08/2021 15:30,Marcos Alonso,Chipped
428810,34,SavedShot,0.875,0.482999992,0.149216577,Romelu Lukaku,a,594,OpenPlay,2021,LeftFoot,16402,Liverpool,Chelsea,1,1,28/08/2021 16:30,Mason Mount,Pass
428825,63,BlockedShot,0.920999985,0.520999985,0.121657871,Romelu Lukaku,a,594,OpenPlay,2021,LeftFoot,16402,Liverpool,Chelsea,1,1,28/08/2021 16:30,Marcos Alonso,HeadPass
430055,14,Goal,0.915,0.532000008,0.429283798,Romelu Lukaku,h,594,OpenPlay,2021,RightFoot,16413,Chelsea,Aston Villa,3,0,11/09/2021 16:30,Mateo Kovacic,TakeOn
